id,name,x,y,player_id,rank,unknown
1,arjay52s+village,481,499,250592,21,0
2,Barbarian+village,522,489,0,21,0
3,Sir+King+Arthurs+village,586,483,267865,66,0
4,Barbarian+village,509,519,0,21,0
5,wider5s+village,474,493,480271,92,0
6,Bonus+village,503,563,0,21,6
7,byropens+village,577,456,4607526,185,0
8,quizmans+village,482,504,7723898,21,0
9,Barbarian+village,489,559,0,21,0
10,Lady+Geminis+village,496,502,7807227,164,0
11,Barbarian+village,545,465,0,21,0
12,WD40,472,515,8351032,197,0
13,Barbarian+village,507,430,0,27,0
14,Vibin125,468,483,9123942,134,0
15,Barbarian+village,486,432,0,21,0
16,Bonus+village,459,555,0,21,3
17,Lord.Walter-Waterss+village,495,494,9239900,21,0
18,don+dules+village,481,521,9811799,21,0
19,Barbarian+village,462,513,0,21,0
20,Lady+Queen+Guineveres+village,586,485,10205179,116,0
21,Barbarian+village,516,507,0,21,0
23,Barbarian+village,521,426,0,21,0
24,ing3816s+village,484,505,11429948,109,0
25,Skara+Brae,589,473,11544222,138,0
26,Barbarian+village,479,471,0,27,0
27,Farmington5s+village,480,505,11547458,21,0
28,BNorways+village,496,508,11579752,21,0
29,Barbarian+village,572,511,0,27,0
30,Freedom,582,479,848966641,147,0
31,Bonus+village,557,496,0,21,9
32,Carmen27s+village,476,483,849013031,21,0
33,Barbarian+village,553,446,0,21,0
34,janniebs+village,494,499,849027126,21,0
35,Smoke713s+village,479,503,849030934,21,0
36,Barbarian+village,568,519,0,21,0
37,Bonus+village,514,490,0,21,2
38,angels+village,585,487,849039797,48,0
39,Barbarian+village,506,453,0,23,0
40,King+Daffys+village,590,485,849048730,96,0
41,Barbarian+village,483,464,0,21,0
42,BigRoustes,479,486,849049188,186,0
43,Rockgods+village,476,498,849052077,141,0
44,HouseRocheforts+village,489,487,849063031,157,0
45,Barbarian+village,452,477,0,28,0
46,ShenyangWinters+village,486,496,849063536,108,0
47,Barbarian+village,515,547,0,27,0
48,Spanac96s+village,510,493,982547,21,0
49,Barbarian+village,497,483,0,23,0
50,Unicorn+With+The+Horns+village,507,502,8112751,47,0
51,Frog53s+village,501,485,8198176,123,0
52,piper-heidsiecks+village,507,495,10670538,208,0
53,mightysheldors+village,505,500,849059226,72,0
54,Barbarian+village,465,468,0,21,0
55,Haveli+001,502,508,849059470,87,0
56,Lopu477s+village,508,479,11586030,182,0
57,Korban6s+village,504,489,3721015,21,0
58,Ziilions+village,515,494,848918220,21,0
59,Barbarian+village,447,535,0,24,0
60,Supernovas+village,503,522,2954234,21,0
61,Rosenexuss+village,502,525,4514992,21,0
62,Barbarian+village,530,455,0,33,0
63,Valletta,498,518,8726404,167,0
64,d%28-_-%29b,512,517,11362319,185,0
65,WileySeals+village,505,536,11389138,21,0
66,Barbarian+village,471,489,0,21,0
67,HugoBosss+village,486,519,11591197,21,0
68,Barbarian+village,481,568,0,21,0
69,Bonus+village,479,567,0,22,4
70,Nexsituss+village,511,509,849049654,64,0
71,Barbarian+village,463,466,0,21,0
72,Meme+01,490,518,849062575,211,0
73,GO+awayyyy,489,522,849062576,206,0
74,Barbarian+village,525,540,0,27,0
75,l7clinicals+village,483,512,849062678,21,0
76,Bsquares+village,540,574,849063360,184,0
